image path,title,price,image URL
D:\study\OJT\ImagesBookSearch\backend\images\lhmn-phienbanmoi-tap7-5595_2_1.jpg,Lớp Học Mật Ngữ Phiên Bản Mới - Tập 7 - Tặng Kèm Huy Hiệu Lớp Học Mật Ngữ,22.500đ,https://cdn0.fahasa.com/media/catalog/product/l/h/lhmn-phienbanmoi-tap7-5595_2_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\lhmn_phienbanmoi_bia_tap5_2_1.jpg,Lớp Học Mật Ngữ Phiên Bản Mới - Tập 5 - Tặng Kèm Huy Hiệu Lớp Học Mật Ngữ,21.250đ,https://cdn0.fahasa.com/media/catalog/product/l/h/lhmn_phienbanmoi_bia_tap5_2_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_236469.jpg,Dế Mèn Phiêu Lưu Ký - Bản Đặc Biệt (Tái Bản 2021),54.000đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_236469.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935244869125.jpg,Danh Nhân Thế Giới - Newton (Tái Bản 2022),27.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244869125.jpg
D:\study\OJT\ImagesBookSearch\backend\images\lhmn_phienbanmoi_tap4.jpg,Lớp Học Mật Ngữ Phiên Bản Mới - Tập 4 - Tặng Kèm Standee Lớp Học Mật Ngữ,22.500đ,https://cdn0.fahasa.com/media/catalog/product/l/h/lhmn_phienbanmoi_tap4.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935212362573.jpg,Gieo Mầm Yêu Thương - Biệt Đội Giải Cứu (Dành Cho Trẻ Từ 3-9 Tuổi),58.500đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935212362573.jpg
D:\study\OJT\ImagesBookSearch\backend\images\dhvlstg02.jpg,Du Hành Vào Lịch Sử Thế Giới - Hoàng Đế Tần Thủy Hoàng,40.500đ,https://cdn0.fahasa.com/media/catalog/product/d/h/dhvlstg02.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935236428002.jpg,Truyện Kể Trước Giờ Đi Ngủ - Mùa Xuân (Tái Bản),53.550đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935236428002.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935244882445.jpg,Thế Giới Của Peppa - George Và Em Bé Ồn Ào,27.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244882445.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935212367752.jpg,"Wow, Thì Ra Là Thế! - Sự Sinh Trưởng Của Thực Vật",40.800đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935212367752.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935235235557.jpg,Tô Màu Phát Triển Não Bộ Cho Bé 1-5 Tuổi - Tập 8,13.600đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235235557.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_220803.jpg,Ehon - Thực Phẩm Tâm Hồn Cho Bé - Tàu Điện Di Chuyển Nào (Tái Bản 2021),45.650đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_220803.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_184557.jpg,Vòng Quanh Thế Giới - Brazil (Tái Bản 2019),10.800đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_184557.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935212358460_1.jpg,Hoàng Tử Bé,59.250đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935212358460_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786044775562.jpg,Truyện Cổ Tích Kinh Điển Thế Giới Hay Nhất - Nàng Bạch Tuyết Và Bảy Chú Lùn,18.260đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786044775562.jpg
